,player_id,player_name,opponent,opponent_id,surface,match_count
0,100282,Guillermo Vilas,Alexander Volkov,101334,Clay,1
1,100282,Guillermo Vilas,German Lopez,102001,Clay,1
14,100284,Jimmy Connors,Cristiano Caratti,101750,Hard,3
3,100284,Jimmy Connors,Aaron Krickstein,101381,Hard,2
8,100284,Jimmy Connors,Bryan Shelton,101214,Hard,2
31,100284,Jimmy Connors,Jim Courier,101793,Carpet,2
40,100284,Jimmy Connors,Malivai Washington,101613,Clay,2
41,100284,Jimmy Connors,Malivai Washington,101613,Hard,2
2,100284,Jimmy Connors,Aaron Krickstein,101381,Grass,1
10,100284,Jimmy Connors,Cassio Motta,100652,Clay,1
13,100284,Jimmy Connors,Claudio Pistolesi,101387,Clay,1
19,100284,Jimmy Connors,Derrick Rostagno,101196,Grass,1
21,100284,Jimmy Connors,Doug Flach,101788,Clay,1
23,100284,Jimmy Connors,Fabrice Santoro,102148,Carpet,1
25,100284,Jimmy Connors,Goran Prpic,101030,Carpet,1
28,100284,Jimmy Connors,Jaime Yzaga,101409,Carpet,1
39,100284,Jimmy Connors,Luis Herrera,101955,Grass,1
42,100284,Jimmy Connors,Marc Rosset,101820,Grass,1
74,100286,Harold Solomon,Bruce Derlin,100790,Hard,1
75,100321,Vijay Amritraj,Bart Wuyts,101642,Hard,1
76,100431,Mansour Bahrami,Andrei Chesnokov,101230,Hard,1
77,100431,Mansour Bahrami,Jan Gunnarsson,100829,Clay,1
78,100437,Bjorn Borg,Alexander Volkov,101334,Carpet,1
79,100437,Bjorn Borg,Andrei Medvedev,102446,Clay,1
80,100437,Bjorn Borg,Chris Pridham,101126,Hard,1
81,100437,Bjorn Borg,Goran Prpic,101030,Clay,1
82,100437,Bjorn Borg,Jaime Oncins,101761,Hard,1
83,100437,Bjorn Borg,Joao Cunha Silva,101416,Carpet,1
84,100437,Bjorn Borg,Jordi Arrese,101063,Clay,1
85,100437,Bjorn Borg,Lionel Roux,102201,Hard,1
86,100437,Bjorn Borg,Nicklas Kulti,101900,Hard,1
87,100437,Bjorn Borg,Olivier Delaitre,101358,Clay,1
90,100529,Kevin Curren,Aaron Krickstein,101381,Hard,2
113,100529,Kevin Curren,Gary Muller,101096,Hard,2
124,100529,Kevin Curren,Jim Courier,101793,Hard,2
91,100529,Kevin Curren,Alexander Mronz,101123,Hard,1
92,100529,Kevin Curren,Andre Agassi,101736,Carpet,1
94,100529,Kevin Curren,Andrei Medvedev,102446,Clay,1
97,100529,Kevin Curren,Brad Gilbert,100763,Carpet,1
98,100529,Kevin Curren,Bryan Shelton,101214,Grass,1
99,100529,Kevin Curren,Cedric Pioline,101611,Carpet,1
104,100529,Kevin Curren,Christo Van Rensburg,100870,Carpet,1
111,100529,Kevin Curren,Fernando Roese,101174,Grass,1
114,100529,Kevin Curren,Gianluca Pozzi,101150,Grass,1
116,100529,Kevin Curren,Guillermo Perez Roldan,101649,Clay,1
117,100529,Kevin Curren,Horacio De La Pena,101276,Clay,1
118,100529,Kevin Curren,Jacco Eltingh,101797,Grass,1
155,100532,Johan Kriek,Alex Obrien,101711,Hard,1
156,100532,Johan Kriek,Anders Jarryd,100757,Carpet,1
157,100532,Johan Kriek,Bret Garnett,101364,Grass,1
158,100532,Johan Kriek,Christo Van Rensburg,100870,Grass,1
159,100532,Johan Kriek,Fabrice Santoro,102148,Carpet,1
160,100532,Johan Kriek,Jan Siemerink,101733,Grass,1
161,100532,Johan Kriek,Javier Sanchez,101439,Grass,1
162,100532,Johan Kriek,Neil Borwick,101398,Hard,1
163,100532,Johan Kriek,Olivier Delaitre,101358,Carpet,1
164,100532,Johan Kriek,Sandon Stolle,101776,Hard,1
165,100532,Johan Kriek,Stefano Pescosolido,101924,Carpet,1
166,100536,Fernando Luna,Alexander Volkov,101334,Clay,1
167,100536,Fernando Luna,Libor Nemecek,101534,Clay,1
168,100536,Fernando Luna,Wayne Ferreira,101965,Hard,1
169,100553,Nduka Odizor,Bing Chao Lin,102277,Carpet,1
170,100553,Nduka Odizor,Roger Smith,100997,Carpet,1
171,100553,Nduka Odizor,Thomas Hogstedt,100962,Hard,1
175,100581,John McEnroe,Alexander Mronz,101123,Carpet,3
185,100581,John McEnroe,Boris Becker,101414,Carpet,2
205,100581,John McEnroe,Goran Ivanisevic,101964,Carpet,2
206,100581,John McEnroe,Goran Ivanisevic,101964,Hard,2
209,100581,John McEnroe,Ivan Lendl,100656,Hard,2
215,100581,John McEnroe,Jim Courier,101793,Hard,2
217,100581,John McEnroe,Jim Grabb,101026,Hard,2
172,100581,John McEnroe,Aki Rahunen,102000,Carpet,1
173,100581,John McEnroe,Alberto Mancini,101606,Clay,1
176,100581,John McEnroe,Alexander Volkov,101334,Grass,1
177,100581,John McEnroe,Andre Agassi,101736,Grass,1
178,100581,John McEnroe,Andrei Cherkasov,101772,Clay,1
180,100581,John McEnroe,Andrei Olhovskiy,101249,Grass,1
192,100581,John McEnroe,Cristiano Caratti,101750,Grass,1
198,100581,John McEnroe,Dinu Pescariu,102375,Clay,1
201,100581,John McEnroe,Francisco Clavet,101532,Clay,1
261,100587,Steve Guy,Malivai Washington,101613,Hard,1
262,100606,Mike Bauer,Javier Sanchez,101439,Clay,1
264,100607,Eduardo Bengoechea,Horacio De La Pena,101276,Clay,2
263,100607,Eduardo Bengoechea,Andrei Cherkasov,101772,Clay,1
265,100607,Eduardo Bengoechea,Sergi Bruguera,101843,Clay,1
266,100607,Eduardo Bengoechea,Todd Witsken,100972,Clay,1
268,100619,George Kalovelonis,Andrei Cherkasov,101772,Clay,1
269,100619,George Kalovelonis,Bart Wuyts,101642,Clay,1
270,100619,George Kalovelonis,Marcos Ondruska,102154,Clay,1
285,100628,Michiel Schapers,Christian Saceanu,101500,Hard,2
302,100628,Michiel Schapers,Jason Stoltenberg,101727,Hard,2
271,100628,Michiel Schapers,Alex Antonitsch,101233,Grass,1
272,100628,Michiel Schapers,Alexander Mronz,101123,Carpet,1
273,100628,Michiel Schapers,Alexander Volkov,101334,Carpet,1
274,100628,Michiel Schapers,Andrei Cherkasov,101772,Hard,1
275,100628,Michiel Schapers,Andrei Chesnokov,101230,Hard,1
276,100628,Michiel Schapers,Andrei Medvedev,102446,Carpet,1
277,100628,Michiel Schapers,Arne Thoms,101835,Grass,1
279,100628,Michiel Schapers,Boris Becker,101414,Carpet,1
283,100628,Michiel Schapers,Chris Pridham,101126,Clay,1
284,100628,Michiel Schapers,Christian Saceanu,101500,Grass,1
289,100628,Michiel Schapers,Diego Nargiso,101717,Grass,1
291,100628,Michiel Schapers,Francisco Clavet,101532,Clay,1
296,100628,Michiel Schapers,Guillermo Perez Roldan,101649,Clay,1
323,100628,Michiel Schapers,Petr Korda,101434,Clay,1
334,100631,Tim Wilkison,Michael Joyce,102169,Clay,1
394,100644,Alexander Zverev,Daniil Medvedev,106421,Hard,17
568,100644,Alexander Zverev,Novak Djokovic,104925,Hard,10
619,100644,Alexander Zverev,Stefanos Tsitsipas,126774,Hard,10
336,100644,Alexander Zverev,Adrian Mannarino,105173,Hard,8
409,100644,Alexander Zverev,Dominic Thiem,106233,Clay,6
588,100644,Alexander Zverev,Rafael Nadal,104745,Clay,6
618,100644,Alexander Zverev,Stefanos Tsitsipas,126774,Clay,6
398,100644,Alexander Zverev,David Goffin,105676,Clay,5
629,100644,Alexander Zverev,Taylor Fritz,126203,Grass,3
529,100644,Alexander Zverev,Marcos Baghdatis,104571,Grass,2
603,100644,Alexander Zverev,Roger Federer,103819,Grass,2
652,100644,Alexander Zverev,Viktor Troicki,104678,Grass,2
661,100652,Cassio Motta,Carsten Arriens,101594,Hard,1
662,100652,Cassio Motta,Chuck Adams,101901,Hard,1
663,100652,Cassio Motta,David Witt,102226,Hard,1
664,100652,Cassio Motta,Felipe Rivera,101912,Carpet,1
665,100652,Cassio Motta,Fernando Meligeni,101897,Hard,1
667,100652,Cassio Motta,Gabriel Markus,101725,Clay,1
670,100652,Cassio Motta,Jimmy Connors,100284,Clay,1
672,100652,Cassio Motta,Karel Novacek,101120,Clay,1
674,100652,Cassio Motta,Marcelo Filippini,101382,Clay,1
687,100653,Andres Gomez,Carl Uwe Steeb,101391,Clay,2
688,100653,Andres Gomez,Carlos Costa,101475,Clay,2
692,100653,Andres Gomez,Claudio Mezzadri,101147,Clay,2
693,100653,Andres Gomez,Claudio Pistolesi,101387,Clay,2
706,100653,Andres Gomez,Jacco Eltingh,101797,Hard,2
682,100653,Andres Gomez,Aki Rahunen,102000,Hard,1
685,100653,Andres Gomez,Brian Devening,101375,Carpet,1
689,100653,Andres Gomez,Carlos Costa,101475,Hard,1
691,100653,Andres Gomez,Christian Miniussi,101368,Hard,1
694,100653,Andres Gomez,Danilo Marcelino,101237,Carpet,1
695,100653,Andres Gomez,David Pate,100815,Carpet,1
708,100653,Andres Gomez,Javier Frana,101318,Carpet,1
901,100656,Ivan Lendl,Stefan Edberg,101222,Hard,7
917,100656,Ivan Lendl,Wally Masur,100923,Hard,4
765,100656,Ivan Lendl,Boris Becker,101414,Hard,3
774,100656,Ivan Lendl,Cedric Pioline,101611,Clay,3
784,100656,Ivan Lendl,David Wheaton,101609,Hard,3
876,100656,Ivan Lendl,Paul Haarhuis,101235,Carpet,3
878,100656,Ivan Lendl,Pete Sampras,101948,Carpet,3
916,100656,Ivan Lendl,Wally Masur,100923,Carpet,3
746,100656,Ivan Lendl,Alberto Mancini,101606,Clay,2
749,100656,Ivan Lendl,Alexander Volkov,101334,Carpet,2
793,100656,Ivan Lendl,Gabriel Markus,101725,Clay,2
831,100656,Ivan Lendl,Jordi Arrese,101063,Clay,2
874,100656,Ivan Lendl,Patrik Kuhnen,101234,Grass,2
759,100656,Ivan Lendl,Arnaud Boetsch,101589,Grass,1
762,100656,Ivan Lendl,Arne Thoms,101835,Grass,1
769,100656,Ivan Lendl,Brian Devening,101375,Grass,1
922,100676,Yannick Noah,Cedric Pioline,101611,Clay,2
919,100676,Yannick Noah,Alexander Mronz,101123,Clay,1
920,100676,Yannick Noah,Boris Becker,101414,Hard,1
921,100676,Yannick Noah,Carlos Costa,101475,Clay,1
923,100676,Yannick Noah,Claudio Pistolesi,101387,Clay,1
924,100676,Yannick Noah,Derrick Rostagno,101196,Carpet,1
925,100676,Yannick Noah,Fabrice Santoro,102148,Carpet,1
926,100676,Yannick Noah,Greg Rusedski,102257,Carpet,1
927,100676,Yannick Noah,Guy Forget,101098,Hard,1
931,100676,Yannick Noah,Martin Sinner,101441,Hard,1
935,100676,Yannick Noah,Thierry Champion,101285,Carpet,1
936,100676,Yannick Noah,Thierry Champion,101285,Hard,1
953,100689,Tim Mayotte,Michael Stich,101529,Hard,2
937,100689,Tim Mayotte,Andrei Cherkasov,101772,Hard,1
938,100689,Tim Mayotte,Andres Gomez,100653,Hard,1
939,100689,Tim Mayotte,Cristiano Caratti,101750,Carpet,1
940,100689,Tim Mayotte,Cristiano Caratti,101750,Hard,1
941,100689,Tim Mayotte,Dan Goldie,100967,Carpet,1
945,100689,Tim Mayotte,Guy Forget,101098,Grass,1
948,100689,Tim Mayotte,Jeremy Bates,100837,Grass,1
949,100689,Tim Mayotte,Jim Grabb,101026,Carpet,1
952,100689,Tim Mayotte,Michael Chang,102021,Grass,1
954,100689,Tim Mayotte,Michiel Schapers,100628,Carpet,1
956,100689,Tim Mayotte,Patrik Kuhnen,101234,Grass,1
962,100711,Pedro Rebolledo,Bart Wuyts,101642,Clay,1
963,100711,Pedro Rebolledo,Brad Gilbert,100763,Hard,1
964,100711,Pedro Rebolledo,Jan Gunnarsson,100829,Grass,1
965,100711,Pedro Rebolledo,Jimmy Arias,101061,Clay,1
966,100711,Pedro Rebolledo,Jimmy Brown,101131,Clay,1
967,100711,Pedro Rebolledo,Jordi Arrese,101063,Clay,1
971,100711,Pedro Rebolledo,Pablo Arraya,100782,Hard,1
972,100711,Pedro Rebolledo,Ricardo Acioly,101003,Carpet,1
975,100713,John Fitzgerald,Alexander Mronz,101123,Hard,2
994,100713,John Fitzgerald,Jan Siemerink,101733,Hard,2
974,100713,John Fitzgerald,Aaron Krickstein,101381,Hard,1
976,100713,John Fitzgerald,Bart Wuyts,101642,Grass,1
977,100713,John Fitzgerald,Brad Gilbert,100763,Hard,1
980,100713,John Fitzgerald,Chris Bailey,101477,Grass,1
983,100713,John Fitzgerald,Christo Van Rensburg,100870,Grass,1
986,100713,John Fitzgerald,Derrick Rostagno,101196,Grass,1
989,100713,John Fitzgerald,Felix Barrientos,101413,Carpet,1
1003,100713,John Fitzgerald,Markus Naewie,101685,Clay,1
1005,100713,John Fitzgerald,Michael Tebbutt,101833,Carpet,1
1006,100713,John Fitzgerald,Patrik Kuhnen,101234,Carpet,1
1016,100714,Broderick Dyke,Alex Obrien,101711,Hard,1
1017,100714,Broderick Dyke,Andrei Chesnokov,101230,Hard,1
1018,100714,Broderick Dyke,Arnaud Boetsch,101589,Grass,1
1019,100714,Broderick Dyke,Cristiano Caratti,101750,Hard,1
1020,100714,Broderick Dyke,John McEnroe,100581,Hard,1
1022,100727,Raul Antonio Viver,Alex Corretja,102374,Clay,1
1023,100727,Raul Antonio Viver,Florian Krumrey,101691,Clay,1
1024,100727,Raul Antonio Viver,Francisco Roig,101462,Clay,1
1025,100727,Raul Antonio Viver,Marcelo Filippini,101382,Clay,1
1027,100727,Raul Antonio Viver,Patrick Baur,101133,Hard,1
1036,100728,Todd Nelson,Pete Sampras,101948,Hard,2
1029,100728,Todd Nelson,Brian Macphie,102053,Hard,1
1030,100728,Todd Nelson,Christian Saceanu,101500,Grass,1
1031,100728,Todd Nelson,Danilo Marcelino,101237,Grass,1
1032,100728,Todd Nelson,Kelly Jones,101022,Hard,1
1033,100728,Todd Nelson,Lars Jonsson,101767,Grass,1
1034,100728,Todd Nelson,Mark Woodforde,101185,Hard,1
1035,100728,Todd Nelson,Patrick Rafter,102158,Grass,1
1039,100744,Peter Doohan,Kevin Curren,100529,Hard,1
1040,100744,Peter Doohan,Richard Fromberg,101735,Hard,1
1041,100747,Glenn Layendecker,Brad Gilbert,100763,Carpet,1
1042,100747,Glenn Layendecker,Brad Gilbert,100763,Hard,1
1043,100747,Glenn Layendecker,Brian Dunn,102368,Hard,1
1044,100747,Glenn Layendecker,Cedric Pioline,101611,Grass,1
1045,100747,Glenn Layendecker,Christian Saceanu,101500,Grass,1
1046,100747,Glenn Layendecker,Cristiano Caratti,101750,Hard,1
1047,100747,Glenn Layendecker,Goran Prpic,101030,Hard,1
1048,100747,Glenn Layendecker,Jamie Morgan,101920,Grass,1
1049,100747,Glenn Layendecker,Javier Frana,101318,Grass,1
1056,100747,Glenn Layendecker,Sergi Bruguera,101843,Clay,1
1057,100747,Glenn Layendecker,Stephane Simian,101362,Carpet,1
1059,100747,Glenn Layendecker,Udo Riglewski,101274,Carpet,1
1061,100752,Ramesh Krishnan,Aki Rahunen,102000,Carpet,2
1065,100752,Ramesh Krishnan,Brett Steven,101601,Hard,2
1062,100752,Ramesh Krishnan,Alexander Volkov,101334,Hard,1
1063,100752,Ramesh Krishnan,Amos Mansdorf,101195,Hard,1
1064,100752,Ramesh Krishnan,Brad Gilbert,100763,Hard,1
1068,100752,Ramesh Krishnan,Cedric Pioline,101611,Clay,1
1070,100752,Ramesh Krishnan,Christo Van Rensburg,100870,Grass,1
1078,100752,Ramesh Krishnan,Jim Courier,101793,Clay,1
1079,100752,Ramesh Krishnan,John McEnroe,100581,Carpet,1
1080,100752,Ramesh Krishnan,Jose Daher,101250,Carpet,1
1081,100752,Ramesh Krishnan,Luiz Mattar,100954,Grass,1
1084,100752,Ramesh Krishnan,Markus Naewie,101685,Clay,1
1092,100752,Ramesh Krishnan,Sandon Stolle,101776,Carpet,1
1146,100757,Anders Jarryd,Greg Rusedski,102257,Hard,4
1214,100757,Anders Jarryd,Petr Korda,101434,Carpet,4
1199,100757,Anders Jarryd,Michael Stich,101529,Carpet,3
1104,100757,Anders Jarryd,Alexander Volkov,101334,Grass,2
1134,100757,Anders Jarryd,Diego Nargiso,101717,Carpet,2
1150,100757,Anders Jarryd,Henrik Holm,101510,Carpet,2
1165,100757,Anders Jarryd,Jim Courier,101793,Hard,2
